iter	MultiClass
0	1.359759309
1	1.342040761
2	1.31911407
3	1.297504078
4	1.281339616
5	1.262060714
6	1.243869574
7	1.225503438
8	1.204343033
9	1.187049461
10	1.169008966
11	1.155611289
12	1.141509882
13	1.132198865
14	1.117281389
15	1.105607092
16	1.090571881
17	1.076843057
18	1.063980739
19	1.052574556
20	1.040506316
21	1.027167867
22	1.01432925
23	1.007958333
24	1.000843651
25	0.9921125826
26	0.9831057709
27	0.971934035
28	0.9615529201
29	0.9523868712
30	0.9437149616
31	0.9349655333
32	0.9289250662
33	0.9208388214
34	0.9111762674
35	0.9038266903
36	0.8950529512
37	0.8897320471
38	0.8817359238
39	0.8732106605
40	0.8648817989
41	0.8577224067
42	0.8502047714
43	0.8428021231
44	0.8374076055
45	0.8304178115
46	0.8256505134
47	0.8199375957
48	0.813612581
49	0.8051535277
50	0.7990106114
51	0.7927290576
52	0.7874574605
53	0.782913039
54	0.7783676874
55	0.7715258847
56	0.7663077741
57	0.7569540268
58	0.7522588295
59	0.7487206386
60	0.7438542052
61	0.7384025559
62	0.732767963
63	0.7278978302
64	0.7233634951
65	0.7171770234
66	0.7111472903
67	0.7058105986
68	0.699879169
69	0.695723713
70	0.6912615668
71	0.686981627
72	0.6823616801
73	0.6785100422
74	0.6739810115
75	0.670542701
76	0.6675176558
77	0.6626839404
78	0.6591441535
79	0.656420781
80	0.651469499
81	0.6474821689
82	0.6427814258
83	0.6386900397
84	0.6340069799
85	0.6300506337
86	0.6254188047
87	0.6216134916
88	0.6178113488
89	0.6126163628
90	0.6091709948
91	0.6058225135
92	0.6014842668
93	0.5982323317
94	0.5950250575
95	0.590335551
96	0.5863779819
97	0.5837536494
98	0.5805881068
99	0.5781231944
100	0.5734326483
101	0.5690743385
102	0.566957944
103	0.5635531474
104	0.5608374599
105	0.5577060057
106	0.5540770843
107	0.5512970171
108	0.5492951252
109	0.5450839071
110	0.5428477575
111	0.5405804552
112	0.5371343636
113	0.5341626242
114	0.531701696
115	0.529907135
116	0.5269632277
117	0.5231317888
118	0.5206094915
119	0.5188124103
120	0.5165666494
121	0.5133349226
122	0.511175968
123	0.5098278718
124	0.5076858694
125	0.5049160932
126	0.5015088556
127	0.4992456414
128	0.4958450247
129	0.4931402841
130	0.4910349339
131	0.4881147065
132	0.4848087856
133	0.482900079
134	0.4800427869
135	0.4763988405
136	0.4727897406
137	0.4712429061
138	0.4693501115
139	0.4662400055
140	0.4640017939
141	0.4614819903
142	0.4586509621
143	0.4567298013
144	0.4543699212
145	0.4524456597
146	0.4504170372
147	0.4468474413
148	0.4448549203
149	0.4415340324
150	0.4400015026
151	0.437768412
152	0.4354481609
153	0.4332566056
154	0.4309842294
155	0.4282449688
156	0.4257830937
157	0.4243633573
158	0.4219238476
159	0.419933645
160	0.4176805094
161	0.4154504905
162	0.4147573689
163	0.4126860283
164	0.410580207
165	0.4079584977
166	0.405930075
167	0.4032573754
168	0.4011463921
169	0.39930474
170	0.3972281225
171	0.3953420031
172	0.3930507028
173	0.3916665156
174	0.390024302
175	0.3878380024
176	0.3859207896
177	0.3840446415
178	0.3822803677
179	0.3810098302
180	0.3790280151
181	0.3776813226
182	0.3760228851
